skos:Scheme,ID,rdf:type (skos:),dct:source ,skos:broader,skos:broader name,skos:note @en,skos:scopeNote @en,skos:prefLabel @de,skos:altLabel @de,skos:altLabel @de,skos:prefLabel @en,skos:altLabel @en,skos:altLabel @en,skos:altLabel @en,external concept (wikidata),type of match (wikidata),external concept (chronontology),type of match (chronontology),external concept (getty),type of match (getty)
kulturepoche,180,Concept,OeAI,121,Mittelalter,,,Spätmittelalter,,,Late Middle Ages,Late Medieval,,,https://www.wikidata.org/wiki/Q212976,skos:exactMatch,,,,
kulturepoche,181,Concept,OeAI,121,Mittelalter,,,Völkerwanderung,,,Migration,,,,https://www.wikidata.org/wiki/Q131192,skos:exactMatch,,,,
kulturepoche,182,Concept,OeAI,122,mykenisch,,,frühmykenisch,,,Early Mycenaean,,,,,,https://chronontology.dainst.org/period/aGIlO07l9Yc5,skos:exactMatch,,
kulturepoche,183,Concept,OeAI,122,mykenisch,,,mittelmykenisch,,,Middle Mycenaean,,,,,,https://chronontology.dainst.org/period/Ns3tiKfNhVmL,skos:exactMatch,,
kulturepoche,184,Concept,OeAI,122,mykenisch,,,spätmykenisch,,,Late Mycenaean,,,,,,https://chronontology.dainst.org/period/etfLhNF0LtBT,skos:exactMatch,,
kulturepoche,185,Concept,OeAI,122,mykenisch,,,submykenisch,,,Submycenean,,,,,,https://chronontology.dainst.org/period/cAUvIcb93BsX,skos:exactMatch,,
kulturepoche,186,Concept,OeAI,123,Neuzeit,,,Barock,,,Baroque,,,,https://www.wikidata.org/wiki/Q37853,skos:exactMatch,,,,
kulturepoche,187,Concept,OeAI,123,Neuzeit,,,Historismus,,,historicism,,,,https://www.wikidata.org/wiki/Q277466,skos:exactMatch,,,,
kulturepoche,188,Concept,OeAI,123,Neuzeit,,,Jugendstil,,,Art Nouveau,,,,https://www.wikidata.org/wiki/Q34636,skos:exactMatch,,,,
kulturepoche,189,Concept,OeAI,123,Neuzeit,,,Klassizismus,,,Classicism,,,,https://www.wikidata.org/wiki/Q170292,skos:exactMatch,,,,
kulturepoche,190,Concept,OeAI,123,Neuzeit,,,Renaissance,,,Renaissance,,,,https://www.wikidata.org/wiki/Q4692,skos:exactMatch,,,,
kulturepoche,191,Concept,OeAI,123,Neuzeit,,,Rokoko,,,Rococo,,,,https://www.wikidata.org/wiki/Q122960,skos:exactMatch,,,,
kulturepoche,192,Concept,OeAI,127,Praehistorie,,,Bronzezeit,,,Bronze Age,,,,https://www.wikidata.org/wiki/Q11761,skos:exactMatch,,,,
kulturepoche,193,Concept,OeAI,127,Praehistorie,,,Chalkolithikum,Kupferzeit,,Chalcolithic,Copper Age,Eneolithic,Aeneolithic,https://www.wikidata.org/wiki/Q130253,skos:exactMatch,,,,
kulturepoche,194,Concept,OeAI,127,Praehistorie,,,Neolithikum,,,Neolithic,,,,https://www.wikidata.org/wiki/Q36422,skos:exactMatch,,,,
kulturepoche,195,Concept,OeAI,127,Praehistorie,,,Paläolithikum,Palaeolithikum,,Palaeolithic,Paleolithic,,,https://www.wikidata.org/wiki/Q40203,skos:exactMatch,,,,
kulturepoche,196,Concept,OeAI,127,Praehistorie,,,Proto-Sesklo,,,Proto-Sesklo,Pre-Sesklo,,,,,,,http://vocab.getty.edu/page/aat/300106928,skos:exactMatch
kulturepoche,197,Concept,OeAI,127,Praehistorie,,,Sesklo,,,Sesklo,,,,,,,,http://vocab.getty.edu/page/aat/300106931,skos:exactMatch
kulturepoche,198,Concept,OeAI,128,römisch,,,kaiserzeitlich,,,Roman Empire,,,,,,https://chronontology.dainst.org/period/bCTpXj4LVC2n,skos:exactMatch,,
kulturepoche,199,Concept,OeAI,128,römisch,,,republikanisch,,,Roman Republic,,,,,,https://chronontology.dainst.org/period/RX2Rv7kcbLGk,skos:exactMatch,,
kulturepoche,200,Concept,OeAI,130,urartäisch,,,frühurartäisch,,,Early Urartian,,,,,,,,,
